Country Name,Country Code,Year,Import_Dependency_Pct
Central Europe and the Baltics,CEB,1992,27.1
Chile,CHL,1992,49.5
China,CHN,1992,-2.6
Colombia,COL,1992,-80.9
"Congo, Dem. Rep.",COD,1992,-1.8
"Congo, Rep.",COG,1992,-1056.1
Costa Rica,CRI,1992,62.7
Cote d'Ivoire,CIV,1992,26.2
Croatia,HRV,1992,36.1
Curacao,CUW,1992,247.4
Czechia,CZE,1992,15.8
Denmark,DNK,1992,40.2
Early-demographic dividend,EAR,1992,-68.7
East Asia & Pacific,EAS,1992,20.4
East Asia & Pacific (IDA & IBRD countries),TEA,1992,-8.6
East Asia & Pacific (excluding high income),EAP,1992,-8.1
Ecuador,ECU,1992,-178.6
"Egypt, Arab Rep.",EGY,1992,-66.2
El Salvador,SLV,1992,39.8
Eritrea,ERI,1992,44.8
Estonia,EST,1992,35.8
Ethiopia,ETH,1992,3.1
Euro area,EMU,1992,61.8
Europe & Central Asia,ECS,1992,16.0
Europe & Central Asia (IDA & IBRD countries),TEC,1992,-9.7
Europe & Central Asia (excluding high income),ECA,1992,30.6
European Union,EUU,1992,53.6
Finland,FIN,1992,57.6
Fragile and conflict affected situations,FCS,1992,-21.0
France,FRA,1992,52.9
Gabon,GAB,1992,-1056.9
Georgia,GEO,1992,86.1
Germany,DEU,1992,55.7
Ghana,GHA,1992,16.2
Greece,GRC,1992,79.4
Guatemala,GTM,1992,30.3
Heavily indebted poor countries (HIPC),HPC,1992,-9.1
High income,HIC,1992,8.6
Honduras,HND,1992,33.2
"Hong Kong SAR, China",HKG,1992,125.4
Hungary,HUN,1992,44.4
IBRD only,IBD,1992,-17.7
IDA & IBRD total,IBT,1992,-18.5
IDA blend,IDB,1992,-51.7
IDA only,IDX,1992,-2.7
IDA total,IDA,1992,-28.5
India,IND,1992,13.9
Indonesia,IDN,1992,-85.1
"Iran, Islamic Rep.",IRN,1992,-164.4
Iraq,IRQ,1992,-20.2
Ireland,IRL,1992,68.7
Israel,ISR,1992,104.4
Italy,ITA,1992,86.4
Jamaica,JAM,1992,94.0
Japan,JPN,1992,85.0
Jordan,JOR,1992,101.5
Kazakhstan,KAZ,1992,-12.6
Kenya,KEN,1992,19.5
"Korea, Dem. People's Rep.",PRK,1992,11.8
"Korea, Rep.",KOR,1992,86.0
Kuwait,KWT,1992,-577.6
Kyrgyz Republic,KGZ,1992,64.7
Late-demographic dividend,LTE,1992,-20.3
Latin America & Caribbean,LCN,1992,-12.5
Latin America & Caribbean (excluding high income),LAC,1992,-16.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,1992,-13.4
Latvia,LVA,1992,90.2
Least developed countries: UN classification,LDC,1992,-22.5
Libya,LBY,1992,-588.8
Lithuania,LTU,1992,62.4
Low & middle income,LMY,1992,-14.6
Low income,LIC,1992,-20.5
Lower middle income,LMC,1992,-8.4
Luxembourg,LUX,1992,103.1
Madagascar,MDG,1992,12.7
Malaysia,MYS,1992,-85.5
Mexico,MEX,1992,-53.6
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1992,-230.3
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1992,-121.3
