year,population,Region
2019,41472.25,Zealand Region
2020,40876.25,Zealand Region
2021,40376.5,Zealand Region
2022,40062.25,Zealand Region
2023,39850.5,Zealand Region
2024,39479.5,Zealand Region
2008,51547.0,Capital Region
2009,51680.75,Capital Region
2010,52414.75,Capital Region
2011,52896.0,Capital Region
2012,53438.75,Capital Region
2013,53997.25,Capital Region
2014,54467.0,Capital Region
2015,54823.75,Capital Region
2016,55225.75,Capital Region
2017,55404.25,Capital Region
2018,55587.25,Capital Region
2019,56104.75,Capital Region
2020,56273.25,Capital Region
2021,57113.25,Capital Region
2022,58093.75,Capital Region
2023,58507.75,Capital Region
2024,58649.75,Capital Region
2008,2001.25,North Jutland
2009,1987.0,North Jutland
2010,1966.75,North Jutland
2011,1938.0,North Jutland
2012,1877.75,North Jutland
2013,1845.5,North Jutland
2014,1802.75,North Jutland
2015,1804.75,North Jutland
2016,1815.75,North Jutland
2017,1798.5,North Jutland
2018,1811.0,North Jutland
2019,1808.0,North Jutland
2020,1779.0,North Jutland
2021,1780.0,North Jutland
2022,1782.25,North Jutland
2023,1780.5,North Jutland
2024,1748.5,North Jutland
2008,42695.25,North Jutland
2009,42720.25,North Jutland
2010,42556.0,North Jutland
2011,42566.5,North Jutland
2012,42349.75,North Jutland
2013,42072.0,North Jutland
2014,42063.75,North Jutland
2015,42132.75,North Jutland
2016,42115.5,North Jutland
2017,42075.25,North Jutland
2018,42126.0,North Jutland
2019,41943.0,North Jutland
2020,41693.25,North Jutland
2021,41563.5,North Jutland
2022,41775.75,North Jutland
2023,41853.0,North Jutland
2024,41760.5,North Jutland
2008,37388.0,Southern Denmark
2009,37647.75,Southern Denmark
2010,37642.75,Southern Denmark
2011,37657.0,Southern Denmark
2012,37622.5,Southern Denmark
2013,37586.5,Southern Denmark
2014,37776.75,Southern Denmark
2015,37896.25,Southern Denmark
2016,37973.75,Southern Denmark
2017,38124.25,Southern Denmark
2018,38319.75,Southern Denmark
2019,38729.25,Southern Denmark
2020,38958.0,Southern Denmark
2021,39339.75,Southern Denmark
2022,39802.5,Southern Denmark
2023,40056.0,Southern Denmark
2024,40267.75,Southern Denmark
2008,22138.5,North Jutland
2009,22008.5,North Jutland
2010,21759.5,North Jutland
2011,21532.0,North Jutland
2012,21340.0,North Jutland
2013,21111.5,North Jutland
2014,20942.5,North Jutland
2015,20755.25,North Jutland
2016,20677.0,North Jutland
2017,20611.25,North Jutland
2018,20488.5,North Jutland
2019,20351.0,North Jutland
2020,20198.0,North Jutland
2021,20070.25,North Jutland
2022,20064.5,North Jutland
2023,19879.0,North Jutland
2024,19644.0,North Jutland
2008,38519.75,Central Jutland
2009,38292.75,Central Jutland
2010,38096.25,Central Jutland
2011,37946.75,Central Jutland
2012,37965.25,Central Jutland
2013,37994.0,Central Jutland
2014,37891.0,Central Jutland
2015,37997.5,Central Jutland
2016,38093.5,Central Jutland
2017,38111.0,Central Jutland
