Municipality,Region,year,purchase_price_mean,purchase_price_median,sqm_price_mean,sqm_price_median,sqm_mean,no_rooms_mean,%_change_between_offer_and_purchase_mean,nom_interest_rate%_mean,dk_ann_infl_rate%_mean,yield_on_mortgage_credit_bonds%_mean,no_sales,income,population,affordability,sales_per_1000,urban_rural
Struer,Central Jutland,2020,1226052.2565445027,690000.0,9063.157,7028.9853515625,124.089005,4.633507853403142,-3.8691099,0.0,0.42000002,1.1,191,378810.6666666667,20961.5,41.796767579626696,9.111943324666651,Rural
Struer,Central Jutland,2021,1088940.5106382978,845500.0,8813.088,8129.8076171875,129.67659,4.502127659574468,-3.3659575,0.0,1.85,1.47,235,398042.3333333333,20813.0,45.16491079328078,11.291020035554702,Rural
Struer,Central Jutland,2022,1147754.7770700636,850000.0,9967.845,7967.033203125,124.0828,4.496815286624204,-3.789809,0.107643306,7.7000003,3.73,157,403236.3333333333,20854.25,40.45371224505732,7.528441444789431,Rural
Struer,Central Jutland,2023,1285359.298245614,730000.0,9364.063,7396.10400390625,130.66667,4.450292397660819,-4.6023393,2.8020468,3.31,4.79,171,410554.6666666667,20690.25,43.84364636020354,8.264762388081344,Rural
Struer,Central Jutland,2024,1244896.4566929133,825000.0,10136.788,8372.548828125,122.338585,4.551181102362205,-4.125984,3.5035431,1.13,4.34,127,421145.3333333333,20453.5,41.54623075212121,6.209206248319358,Rural
Svendborg,Southern Denmark,2008,1992500.7699680512,1650000.0,16651.787,13807.947265625,132.61342,4.386581469648562,-1.9776357,4.040735,3.4200003,6.52,313,281572.6666666667,59138.5,16.909456424506672,5.292660449622496,Urban
Svendborg,Southern Denmark,2009,1880804.750929368,1500000.0,14653.572,12030.0751953125,133.829,4.4721189591078065,-4.7843866,1.9263941,1.3,5.5,269,287571.3333333333,59130.25,19.624657614766782,4.549278922378985,Urban
Svendborg,Southern Denmark,2010,1678293.7294520547,1400000.0,13236.516,11775.2099609375,134.84247,4.551369863013699,-4.428082,0.80479455,2.31,4.53,292,308484.3333333333,58922.5,23.30555361647531,4.955662098519241,Urban
Svendborg,Southern Denmark,2011,1761995.4393939397,1420000.0,15136.953,11652.298828125,132.25757,4.284090909090909,-5.3598485,0.9943182,2.76,4.75,264,307865.6666666667,58693.0,20.338681547512678,4.497981019883121,Urban
Svendborg,Southern Denmark,2012,1699956.4353741496,1365000.0,13574.77,11237.2451171875,136.06802,4.442176870748299,-5.568027,0.4506803,2.4,3.66,294,319689.6666666667,58487.25,23.550282374336117,5.0267365964376856,Urban
