Municipality,Region,year,income
Roskilde,Zealand Region,2013,382601.0
Rudersdal,Capital Region,2013,594648.3333333334
Rødovre,Capital Region,2013,336436.6666666667
Samsø,Central Jutland,2013,303183.0
Silkeborg,Central Jutland,2013,354998.3333333333
Skanderborg,Central Jutland,2013,393349.0
Skive,Central Jutland,2013,320163.0
Slagelse,Zealand Region,2013,323366.0
Solrød,Zealand Region,2013,421262.6666666667
Sorø,Zealand Region,2013,345586.0
Stevns,Zealand Region,2013,345352.3333333333
Struer,Central Jutland,2013,326623.3333333333
Svendborg,Southern Denmark,2013,326588.6666666667
Syddjurs,Central Jutland,2013,357613.3333333333
Sønderborg,Southern Denmark,2013,318945.3333333333
Thisted,North Jutland,2013,321558.6666666667
Tårnby,Capital Region,2013,362036.6666666667
Tønder,Southern Denmark,2013,305320.3333333333
Vallensbæk,Capital Region,2013,397544.3333333333
Varde,Southern Denmark,2013,344887.0
Vejen,Southern Denmark,2013,333533.6666666667
Vejle,Southern Denmark,2013,352868.0
Vesthimmerland,North Jutland,2013,314165.6666666667
Viborg,Central Jutland,2013,342713.6666666667
Vordingborg,Zealand Region,2013,314457.6666666667
Ærø,Southern Denmark,2013,284370.6666666667
Aabenraa,Southern Denmark,2014,321844.6666666667
Aalborg,North Jutland,2014,321230.6666666667
Aarhus,Central Jutland,2014,343435.0
Albertslund,Capital Region,2014,324191.0
Allerød,Capital Region,2014,487347.0
Assens,Southern Denmark,2014,327407.6666666667
Ballerup,Capital Region,2014,366728.6666666667
Billund,Southern Denmark,2014,355026.0
Bornholm,Capital Region,2014,301158.3333333333
Brøndby,Capital Region,2014,321803.0
Brønderslev,North Jutland,2014,325237.0
Copenhagen,Capital Region,2014,321058.6666666667
Dragør,Capital Region,2014,471336.0
Egedal,Capital Region,2014,432740.6666666667
Esbjerg,Southern Denmark,2014,341909.3333333333
Faaborg-Midtfyn,Southern Denmark,2014,329373.6666666667
